==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, lr=0.0003, lr_cent=0.5, max_epoch=60, print_freq=2, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_cent=0.0005, weight_decay=0.0005, width=128, workers=4)
==========
Currently using CPU (GPU is highly recommended)
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
start training
==> Start training
Epoch: [1][344/404]	Bacth_Time 21.514 (20.756)	Data 0.004 (0.019)	Loss 5.2583 (6.1278)	
Epoch: [1][346/404]	Bacth_Time 23.458 (20.769)	Data 0.003 (0.019)	Loss 5.8929 (6.1242)	
Epoch: [1][348/404]	Bacth_Time 26.162 (20.794)	Data 0.004 (0.019)	Loss 4.9676 (6.1194)	
Epoch: [1][350/404]	Bacth_Time 26.419 (20.839)	Data 0.004 (0.019)	Loss 5.7015 (6.1157)	
Epoch: [1][352/404]	Bacth_Time 26.759 (20.873)	Data 0.004 (0.019)	Loss 5.5272 (6.1115)	
Epoch: [1][354/404]	Bacth_Time 26.597 (20.914)	Data 0.005 (0.019)	Loss 5.5485 (6.1074)	
Epoch: [1][356/404]	Bacth_Time 33.088 (20.973)	Data 0.004 (0.019)	Loss 5.4309 (6.1046)	
Epoch: [1][358/404]	Bacth_Time 24.617 (20.997)	Data 0.003 (0.019)	Loss 5.3905 (6.1000)	
Epoch: [1][360/404]	Bacth_Time 24.073 (21.017)	Data 0.004 (0.019)	Loss 5.5367 (6.0979)	
Epoch: [1][362/404]	Bacth_Time 22.838 (21.028)	Data 0.004 (0.019)	Loss 4.8758 (6.0918)	
Epoch: [1][364/404]	Bacth_Time 23.807 (21.038)	Data 0.004 (0.019)	Loss 5.2311 (6.0868)	
Epoch: [1][366/404]	Bacth_Time 23.367 (21.047)	Data 0.004 (0.019)	Loss 5.0521 (6.0818)	
Epoch: [1][368/404]	Bacth_Time 22.952 (21.056)	Data 0.004 (0.018)	Loss 4.9973 (6.0775)	
Epoch: [1][370/404]	Bacth_Time 23.129 (21.073)	Data 0.004 (0.018)	Loss 5.3601 (6.0736)	
Epoch: [1][372/404]	Bacth_Time 25.269 (21.091)	Data 0.004 (0.018)	Loss 5.5186 (6.0698)	
Epoch: [1][374/404]	Bacth_Time 24.049 (21.108)	Data 0.005 (0.018)	Loss 4.9021 (6.0630)	
Epoch: [1][376/404]	Bacth_Time 24.290 (21.126)	Data 0.004 (0.018)	Loss 5.2099 (6.0573)	
Epoch: [1][378/404]	Bacth_Time 22.999 (21.139)	Data 0.006 (0.018)	Loss 5.1468 (6.0523)	
